"Month","Year","Week_day","Type_day","Casualties","Num_vehicles","Lanes","Road_width","Lane_width","Hard_shoulder","Paved_hard_shoulder","Security_barriers","Aditional_panels","Edge_landmarks","Reflectors","Surface","Luminosity","Atmosferic_factors","Limited_visibility","Danger_signs","Crash_type","Traffic","Conc_distraction","Conc_alcohol_durgs","Conc_speed","Conc_tyred_sleepy_ill","Conc_weather"
"Apr",2006,2,"Post_holiday",1,1,3,"6m_to_7m","More_375m","Less_150m","Y","N","Y","Y","Y","Dry","Daylight","Clear","Y","Yes","Off_the_road","Light","Y","N","N","N","N"
"Apr",2006,4,"Work_day",3,3,2,"6m_to_7m","325m_to_375m","Less_150m","Y","N","N","N","N","Dry","Daylight","Clear","Y","Not_needed","Collision","Light","N","N","N","N","N"
"Apr",2006,5,"Work_day",4,2,2,"More_7m","325m_to_375m","None","N","N","N","Y","Y","Wet","Daylight","Light_rain","Y","No","Collision","Light","N","N","N","N","N"
"Apr",2006,5,"Work_day",3,2,3,"More_7m","More_375m","150m_to_250m","Y","Y","N","Y","Y","Wet","Daylight","Light_rain","Y","Not_needed","Collision","Light","N","N","N","N","Y"
"Apr",2006,6,"Pre_holiday",1,1,2,"More_7m","325m_to_375m","Less_150m","Y","N","N","Y","Y","Wet","Daylight","Light_rain","Y","Yes","Other","Light","Y","N","N","N","N"
"Apr",2006,6,"Pre_holiday",4,2,2,"More_7m","325m_to_375m","None","N","N","N","N","N","Dry","Artificial_enough","Clear","Y","No","Other","Light","Y","N","N","N","N"
"Apr",2006,6,"Pre_holiday",1,1,2,"More_7m","325m_to_375m","Less_150m","Y","Y","Y","Y","N","Wet","Daylight","Light_rain","Y","No","Off_the_road","Light","Y","N","Y","N","Y"
"Apr",2006,6,"Pre_holiday",1,1,3,"More_7m","325m_to_375m","Less_150m","Y","N","N","N","N","Wet","Daylight","Light_rain","Y","Yes","Other","Light","N","N","N","Y","N"
"Apr",2006,6,"Pre_holiday",2,2,2,"More_7m","325m_to_375m","None","Y","N","N","N","N","Dry","Daylight","Clear","Y","No","Collision","Light","Y","N","N","N","N"
"Apr",2006,7,"Holiday",6,3,4,"6m_to_7m","325m_to_375m","Less_150m","Y","N","N","Y","N","Dry","Daylight","Clear","Y","Yes","Collision","Heavy","Y","N","N","N","N"
"Apr",2006,1,"Post_holiday",2,2,2,"6m_to_7m","Less_325m","Less_150m","Y","N","N","N","N","Dry","Daylight","Clear","Y","Not_needed","Collision","Light","N","N","N","N","N"
"Apr",2006,2,"Work_day",2,2,1,"6m_to_7m","325m_to_375m","Less_150m","Y","N","N","N","N","Other","Artificial_enough","Clear","Y","No","Collision","Light","Y","N","N","N","N"
